BroadJournalHeading	count	unconquerables_count	ratio
Acquired Immunodeficiency Syndrome	91	3	0.03296703296703297
Aerospace Medicine	21	2	0.09523809523809523
Allergy and Immunology	302	17	0.056291390728476824
Anatomy	84	5	0.05952380952380952
Anesthesiology	88	6	0.06818181818181818
Anthropology	20	0	0.0
Anti-Infective Agents	31	0	0.0
Antineoplastic Agents	19	1	0.05263157894736842
Audiology	40	1	0.025
Bacteriology	23	1	0.043478260869565216
Behavioral Sciences	110	4	0.03636363636363636
Biochemistry	365	18	0.049315068493150684
Biology	319	18	0.05642633228840126
Biomedical Engineering	149	5	0.03355704697986577
Biophysics	101	4	0.039603960396039604
Biotechnology	134	4	0.029850746268656716
Botany	52	2	0.038461538461538464
Brain	62	4	0.06451612903225806
Cardiology	282	21	0.07446808510638298
Cell Biology	226	9	0.03982300884955752
Chemistry	158	10	0.06329113924050633
Chemistry Techniques, Analytical	55	3	0.05454545454545454
Chemistry, Clinical	12	1	0.08333333333333333
Chiropractic	2	0	0.0
Clinical Laboratory Techniques	47	5	0.10638297872340426
Communicable Diseases	98	6	0.061224489795918366
Complementary Therapies	48	7	0.14583333333333334
Computational Biology	38	3	0.07894736842105263
Critical Care	50	4	0.08
Dentistry	882	48	0.05442176870748299
Dermatology	103	13	0.1262135922330097
Diagnostic Imaging	122	2	0.01639344262295082
Disaster Medicine	9	3	0.3333333333333333
Drug Therapy	115	8	0.06956521739130435
Education	89	5	0.056179775280898875
Embryology	43	3	0.06976744186046512
Emergency Medicine	52	7	0.1346153846153846
Endocrinology	173	13	0.07514450867052024
Environmental Health	181	11	0.06077348066298342
Epidemiology	92	10	0.10869565217391304
Ethics	60	4	0.06666666666666667
Family Planning Services	23	1	0.043478260869565216
Forensic Sciences	28	4	0.14285714285714285
Gastroenterology	168	12	0.07142857142857142
General Surgery	417	36	0.08633093525179857
Genetics	132	5	0.03787878787878788
Genetics, Medical	78	3	0.038461538461538464
Geriatrics	113	5	0.04424778761061947
Gynecology	153	8	0.05228758169934641
Health Services	307	14	0.04560260586319218
Health Services Research	152	7	0.046052631578947366
Hematology	121	10	0.08264462809917356
Histocytochemistry	20	0	0.0
Histology	20	1	0.05
History of Medicine	147	6	0.04081632653061224
Hospitals	111	1	0.009009009009009009
Internal Medicine	40	9	0.225
Jurisprudence	113	9	0.07964601769911504
Laboratory Animal Science	11	3	0.2727272727272727
Library Science	6	0	0.0
Medical Informatics	93	5	0.053763440860215055
Medicine	873	93	0.10652920962199312
Metabolism	117	3	0.02564102564102564
Microbiology	244	19	0.0778688524590164
Military Medicine	28	5	0.17857142857142858
Molecular Biology	293	8	0.027303754266211604
Nanotechnology	29	0	0.0
Neoplasms	355	26	0.07323943661971831
Nephrology	81	9	0.1111111111111111
Neurology	493	26	0.05273833671399594
Neurosurgery	55	12	0.21818181818181817
Nuclear Medicine	68	2	0.029411764705882353
Nursing	781	24	0.030729833546734954
Nutritional Sciences	175	17	0.09714285714285714
Obstetrics	154	4	0.025974025974025976
Occupational Medicine	88	7	0.07954545454545454
Ophthalmology	187	12	0.06417112299465241
Orthodontics	32	2	0.0625
Orthopedics	134	14	0.1044776119402985
Osteopathic Medicine	2	0	0.0
Otolaryngology	103	7	0.06796116504854369
Palliative Care	20	0	0.0
Parasitology	64	8	0.125
Pathology	194	13	0.06701030927835051
Pediatrics	313	21	0.0670926517571885
Perinatology	50	2	0.04
Pharmacology	337	22	0.06528189910979229
Pharmacy	91	7	0.07692307692307693
Photography	8	0	0.0
Physical and Rehabilitation Medicine	116	5	0.04310344827586207
Physics	37	1	0.02702702702702703
Physiology	242	15	0.06198347107438017
Podiatry	6	1	0.16666666666666666
Primary Health Care	51	10	0.19607843137254902
Psychiatry	347	27	0.07780979827089338
Psychology	276	9	0.03260869565217391
Psychopharmacology	30	2	0.06666666666666667
Psychophysiology	67	5	0.07462686567164178
Public Health	385	40	0.1038961038961039
Pulmonary Medicine	185	8	0.043243243243243246
Radiology	147	9	0.061224489795918366
Radiotherapy	33	2	0.06060606060606061
Reproductive Medicine	141	5	0.03546099290780142
Rheumatology	79	5	0.06329113924050633
Science	96	5	0.052083333333333336
Sexually Transmitted Diseases	44	2	0.045454545454545456
Social Sciences	100	3	0.03
Speech-Language Pathology	32	0	0.0
Sports Medicine	54	5	0.09259259259259259
Statistics as Topic	73	7	0.0958904109589041
Substance-Related Disorders	60	5	0.08333333333333333
Technology	76	8	0.10526315789473684
Teratology	9	0	0.0
Therapeutics	123	7	0.056910569105691054
Toxicology	148	9	0.060810810810810814
Transplantation	50	2	0.04
Traumatology	90	10	0.1111111111111111
Tropical Medicine	87	4	0.04597701149425287
Urology	94	10	0.10638297872340426
Vascular Diseases	193	8	0.04145077720207254
Veterinary Medicine	184	11	0.059782608695652176
Virology	62	4	0.06451612903225806
Vital Statistics	28	8	0.2857142857142857
Women's Health	25	0	0.0
Zoology	51	3	0.058823529411764705
