Country	count	Unconquerables	% Unconquerables	MEDLINE journals OA compliant	% MEDLINE journals OA compliant
United States	1972	271	0.1374239350912779	1701	0.8625760649087221
Japan	115	63	0.5478260869565217	52	0.45217391304347826
China	80	54	0.675	26	0.325
Germany	297	39	0.13131313131313133	258	0.8686868686868687
Italy	71	33	0.4647887323943662	38	0.5352112676056338
England	1381	27	0.01955104996379435	1354	0.9804489500362057
Switzerland	157	26	0.16560509554140126	131	0.8343949044585988
Netherlands	352	23	0.06534090909090909	329	0.9346590909090909
Spain	63	21	0.3333333333333333	42	0.6666666666666666
Poland	43	20	0.46511627906976744	23	0.5348837209302325
Russia (Federation)	22	19	0.8636363636363636	3	0.13636363636363635
France	87	18	0.20689655172413793	69	0.7931034482758621
Czech Republic	20	16	0.8	4	0.2
Canada	43	16	0.37209302325581395	27	0.627906976744186
Turkey	24	15	0.625	9	0.375
Australia	71	9	0.1267605633802817	62	0.8732394366197183
Brazil	48	8	0.16666666666666666	40	0.8333333333333334
Korea (South)	33	7	0.21212121212121213	26	0.7878787878787878
India	39	7	0.1794871794871795	32	0.8205128205128205
Romania	6	6	1.0	0	0.0
China (Republic : 1949- )	10	6	0.6	4	0.4
Hungary	10	5	0.5	5	0.5
Pakistan	5	4	0.8	1	0.2
Argentina	7	4	0.5714285714285714	3	0.42857142857142855
Singapore	17	4	0.23529411764705882	13	0.7647058823529411
Denmark	29	4	0.13793103448275862	25	0.8620689655172413
Malaysia	3	3	1.0	0	0.0
Belgium	4	3	0.75	1	0.25
Nigeria	4	3	0.75	1	0.25
Slovakia	4	3	0.75	1	0.25
Saudi Arabia	5	3	0.6	2	0.4
Greece	10	3	0.3	7	0.7
Mexico	11	3	0.2727272727272727	8	0.7272727272727273
Iran	12	3	0.25	9	0.75
Israel	2	2	1.0	0	0.0
Ukraine	2	2	1.0	0	0.0
Chile	3	2	0.6666666666666666	1	0.3333333333333333
Croatia	7	2	0.2857142857142857	5	0.7142857142857143
Sweden	11	2	0.18181818181818182	9	0.8181818181818182
Austria	12	2	0.16666666666666666	10	0.8333333333333334
South Africa	12	2	0.16666666666666666	10	0.8333333333333334
Georgia (Republic)	1	1	1.0	0	0.0
Iceland	1	1	1.0	0	0.0
Kuwait	1	1	1.0	0	0.0
Lithuania	1	1	1.0	0	0.0
Mali	1	1	1.0	0	0.0
North Macedonia	1	1	1.0	0	0.0
Sri Lanka	1	1	1.0	0	0.0
Tunisia	1	1	1.0	0	0.0
Bangladesh	2	1	0.5	1	0.5
Peru	2	1	0.5	1	0.5
Slovenia	2	1	0.5	1	0.5
Uganda	2	1	0.5	1	0.5
Norway	3	1	0.3333333333333333	2	0.6666666666666666
Thailand	3	1	0.3333333333333333	2	0.6666666666666666
Bosnia and Herzegovina	4	1	0.25	3	0.75
Nepal	4	1	0.25	3	0.75
Portugal	4	1	0.25	3	0.75
Colombia	5	1	0.2	4	0.8
Egypt	10	1	0.1	9	0.9
Ireland	32	1	0.03125	31	0.96875
Bulgaria	1	0	0.0	1	1.0
Ethiopia	1	0	0.0	1	1.0
Finland	1	0	0.0	1	1.0
Ghana	1	0	0.0	1	1.0
Indonesia	1	0	0.0	1	1.0
Libya	1	0	0.0	1	1.0
Malawi	1	0	0.0	1	1.0
New Zealand	23	0	0.0	23	1.0
Northern Ireland	1	0	0.0	1	1.0
Oman	1	0	0.0	1	1.0
Philippines	1	0	0.0	1	1.0
Puerto Rico	1	0	0.0	1	1.0
Scotland	17	0	0.0	17	1.0
United Arab Emirates	42	0	0.0	42	1.0
Wales	1	0	0.0	1	1.0
